state	zip	pci
AR	72160	53
AR	72166	47
AR	72167	40
AR	72168	32
AR	72173	55
AR	72175	31
AR	72176	44
AR	72179	45
AR	72181	49
AR	72201	105
AR	72202	57
AR	72204	31
AR	72205	59
AR	72206	37
AR	72207	152
AR	72209	27
AR	72210	52
AR	72211	74
AR	72212	132
AR	72223	153
AR	72227	84
AR	72301	35
AR	72315	42
AR	72324	41
AR	72326	36
AR	72327	42
AR	72330	38
AR	72331	29
AR	72333	44
AR	72335	33
AR	72342	40
AR	72346	35
AR	72347	36
AR	72348	37
AR	72350	35
AR	72354	40
AR	72355	42
AR	72358	28
AR	72360	39
AR	72364	55
AR	72365	34
AR	72366	44
AR	72368	49
AR	72370	36
AR	72372	39
AR	72373	28
AR	72374	39
AR	72376	48
AR	72384	29
AR	72386	44
AR	72390	32
AR	72392	38
AR	72394	32
AR	72395	47
AR	72396	46
AR	72401	47
AR	72404	70
AR	72410	32
AR	72411	39
AR	72412	40
AR	72413	34
AR	72414	41
AR	72415	36
AR	72416	43
AR	72417	43
AR	72419	38
AR	72421	40
AR	72422	42
AR	72425	35
AR	72429	45
AR	72430	32
AR	72432	39
AR	72433	33
AR	72434	41
AR	72435	37
AR	72436	36
AR	72437	43
AR	72438	41
AR	72440	39
AR	72442	47
AR	72443	40
AR	72444	35
AR	72447	47
AR	72450	47
AR	72454	40
AR	72455	41
AR	72456	38
AR	72458	43
AR	72459	36
AR	72460	44
AR	72461	44
AR	72466	43
AR	72469	41
AR	72470	47
AR	72471	38
AR	72472	38
AR	72473	41
AR	72476	42
AR	72478	39
AR	72479	55
AR	72482	31
AR	72501	48
AR	72512	33
AR	72513	42
AR	72517	31
AR	72519	39
AR	72520	31
AR	72521	41
AR	72522	37
AR	72523	36
AR	72524	42
AR	72527	42
AR	72529	37
AR	72530	44
AR	72531	40
AR	72532	41
AR	72533	30
AR	72534	47
AR	72536	37
AR	72537	40
AR	72538	40
AR	72539	34
AR	72542	35
AR	72543	53
AR	72544	38
AR	72550	43
AR	72554	35
AR	72556	46
AR	72560	40
